0	0	620
1	0	574
2	0	595
3	0	636
4	0	602
5	0	637
6	0	576
7	0	577
8	0	609
9	0	780
10	0	654
11	0	579
12	0	609
13	0	612
14	0.225	485
15	0.814	467
16	0.956	361
17	0.986	319
18	0	609
19	0	636
20	0	602
21	0	576
22	0	617
23	0	594
24	0	603
25	0	581
26	0	584
27	0	593
28	0	831
29	0	578
30	0	579
31	0.282	466
32	0.837	423
33	0.966	355
34	0.99	281
35	0.993	244
36	0	641
37	0	647
38	0	583
39	0	561
40	0	576
41	0	586
42	0	609
43	0	641
44	0	583
45	0	577
46	0	604
47	0	615
48	0.304	528
49	0.845	416
50	0.967	332
51	0.993	260
52	0.994	226
53	0.996	203
54	0	563
55	0	678
56	0	579
57	0	577
58	0	581
59	0	560
60	0	559
61	0	566
62	0	608
63	0	572
64	0	567
65	0.32	485
66	0.851	404
67	0.967	326
68	0.993	263
69	0.994	229
70	0.996	271
71	0.998	169
72	0	549
73	0	545
74	0	549
75	0	545
76	0	554
77	0	552
78	0	548
79	0	547
80	0	546
81	0	518
82	0.325	448
83	0.853	379
84	0.967	312
85	0.99	247
86	0.994	160
87	0.994	199
88	0.997	142
89	0.999	132
90	0	508
91	0	509
92	0	506
93	0	507
94	0	507
95	0	511
96	0	509
97	0	506
98	0	482
99	0.327	423
100	0.854	365
101	0.967	304
102	0.994	190
103	0.99	241
104	0.994	159
105	0.997	133
106	0.998	123
107	1	124
108	0	508
109	0	512
110	0	508
111	0	505
112	0	512
113	0	511
114	0	513
115	0	485
116	0.329	424
117	0.854	366
118	0.967	305
119	0.99	240
120	0.993	159
121	0.994	193
122	0.996	132
123	0.997	122
124	0.999	118
125	1	126
126	0	574
127	0	547
128	0	576
129	0	517
130	0	536
131	0	554
132	0	535
133	0.329	433
134	0.854	370
135	0.967	332
136	0.99	275
137	0.994	278
138	0.995	186
139	0.993	166
140	0.998	123
141	0.997	135
142	0.999	125
143	1	151
144	0	528
145	0	541
146	0	544
147	0	537
148	0	554
149	0	566
150	0.33	434
151	0.854	382
152	0.966	318
153	0.99	252
154	0.994	228
155	0.993	155
156	0.993	163
157	0.997	160
158	0.997	168
159	0.999	119
160	1	138
161	0.998	225
162	0	521
163	0	553
164	0	538
165	0	524
166	0	506
167	0.33	441
168	0.854	421
169	0.966	315
170	0.99	247
171	0.993	170
172	0.994	205
173	0.995	143
174	0.991	140
175	0.996	119
176	0.999	139
177	0.998	118
178	0.999	148
179	0.997	195
180	0	572
181	0	588
182	0	519
183	0	495
184	0.33	465
185	0.854	386
186	0.966	334
187	0.99	256
188	0.993	169
189	0.994	197
190	0.991	143
191	0.995	168
192	0.994	172
193	0.999	133
194	0.997	116
195	0.998	143
196	0.998	164
197	0.991	233
198	0	560
199	0	539
200	0	501
201	0.33	442
202	0.854	717
203	0.966	308
204	0.994	210
205	0.99	243
206	0.993	185
207	0.994	137
208	0.991	142
209	0.995	131
210	0.994	121
211	0.998	126
212	0.999	163
213	0.998	138
214	0.994	209
215	0.978	298
216	0	548
217	0	555
218	0.33	498
219	0.854	419
220	0.966	420
221	0.99	298
222	0.993	228
223	0.994	272
224	0.991	639
225	0.993	228
226	0.994	180
227	0.996	163
228	0.995	154
229	0.998	249
230	0.998	495
231	0.994	195
232	0.975	271
233	0.882	226
234	0	504
235	0.33	479
236	0.854	412
237	0.966	308
238	0.99	253
239	0.993	194
240	0.994	196
241	0.994	200
242	0.991	138
243	0.993	126
244	0.993	124
245	0.995	159
246	0.998	164
247	0.998	125
248	0.996	186
249	0.929	207
250	0.828	185
251	0.812	184
252	0.33	499
253	0.854	391
254	0.966	327
255	0.994	243
256	0.99	249
257	0.993	171
258	0.994	264
259	0.991	162
260	0.995	125
261	0.993	124
262	0.994	125
263	0.998	155
264	0.995	169
265	0.902	188
266	0.994	176
267	0.789	151
268	0.807	254
269	0.939	180
270	0.854	375
271	0.966	396
272	0.99	286
273	0.994	239
274	0.991	160
275	0.993	165
276	0.993	131
277	0.994	128
278	0.993	151
279	0.995	123
280	0.993	130
281	0.975	202
282	0.997	165
283	0.919	172
284	0.733	245
285	0.833	167
286	0.795	147
287	0.876	152
288	0.966	319
289	0.994	261
290	0.99	275
291	0.993	244
292	0.994	144
293	0.991	181
294	0.995	175
295	0.993	159
296	0.993	128
297	0.992	116
298	0.996	197
299	0.903	200
300	0.962	194
301	0.815	169
302	0.866	172
303	0.829	156
304	0.846	135
305	0.966	289
306	0.99	273
307	0.994	206
308	0.991	203
309	0.993	223
310	0.993	167
311	0.994	130
312	0.991	127
313	0.995	138
314	0.992	133
315	0.869	172
316	0.991	152
317	0.892	168
318	0.727	637
319	0.853	170
320	0.814	147
321	0.769	160
322	0.884	129
323	0.966	265
324	0.994	203
325	0.991	176
326	0.993	227
327	0.994	143
328	0.995	136
329	0.993	116
330	0.99	132
331	0.991	124
332	0.991	146
333	0.829	185
334	0.902	156
335	0.829	152
336	0.799	134
337	0.784	133
338	0.821	290
339	0.798	129
340	0.884	210
341	0.966	156
342	0.991	502
343	0.993	180
344	0.994	245
345	0.994	294
346	0.993	126
347	0.991	131
348	0.992	145
349	0.99	184
350	0.851	156
351	0.91	153
352	0.813	136
353	0.816	178
354	0.793	128
355	0.814	133
356	0.784	120
357	0.798	237
358	0.884	183
359	0.966	148
